Address,Transactions,Year,Month,List Price,Sold Price,Sold/List Ratio,Property Type,SqFt,Beds,Baths
"#1805 930 16 Avenue Southwest, Calgary ",1,2024,November,"$409,000","$409,000",100%,High Rise Apartment,574,1,1
"4004 Vance Place Northwest, Calgary ",1,2024,November,"$615,000","$615,000",100%,Half Duplex,947,4,2
"119 Royal Oak Drive Northwest, Calgary ",1,2024,September,"$629,900","$662,000",105%,House,"1,680",4,3
"132 Royal Manor Northwest, Calgary ",1,2024,November,"$498,888","$517,500",104%,Not Applicable,"1,403",2,2
"110 Cougarstone Terrace Southwest, Calgary ",1,2024,December,"$999,000","$975,000",98%,House,"2,298",5,3
"1634 Broadview Road Northwest, Calgary ",1,2024,December,"$1,199,900","$1,150,000",96%,House,"2,833",4,4
"188 Mike Ralph Way Southwest, Calgary ",1,2024,August,"$699,900","$725,000",104%,House,"1,278",3,2
"2622 36 Street Southwest, Calgary ",1,2024,September,"$815,000","$808,000",99%,Half Duplex,"1,970",3,2
"381 Killarney Glen Court Southwest, Calgary ",1,2024,October,"$365,000","$371,500",102%,Not Applicable,844,2,1
"3011 33 Street Southwest, Calgary ",1,2024,November,"$1,069,900","$1,050,000",98%,Half Duplex,"1,957",4,3
"176 Chaparral Crescent Southeast, Calgary ",1,2025,January,"$715,000","$705,000",99%,House,"1,413",4,3
"247 Pump Hill Crescent Southwest, Calgary ",1,2024,August,"$1,188,888","$1,085,000",91%,House,"3,103",6,5
"#93 200 Shawnessy Drive Southwest, Calgary ",1,2024,November,"$299,900","$343,500",115%,Not Applicable,"1,052",2,1
"1843 36 Avenue Southwest, Calgary ",1,2024,September,"$599,000","$575,000",96%,Not Applicable,"1,695",2,1
"#411 270 Shawville Way Southeast, Calgary ",1,2024,November,"$347,500","$336,000",97%,High Rise Apartment,"1,019",2,2
"#410 210 15 Avenue Southeast, Calgary ",1,2024,October,"$354,900","$352,000",99%,High Rise Apartment,827,2,2
"#320 35 Richard Court Southwest, Calgary ",1,2024,August,"$299,900","$292,500",98%,High Rise Apartment,714,1,1
"#77 123 Queensland Drive Southeast, Calgary ",1,2024,October,"$359,900","$365,000",101%,Not Applicable,505,2,1
"520 Mckenzie Towne Close Southeast, Calgary ",1,2024,November,"$429,900","$415,000",97%,Not Applicable,"1,295",2,2
